
ARIF,Sukun,L,1984-05-29
AYU,Sawojajar,P,1982-06-13
CATUR,Blimbing,L,1983-08-14
DEWI,Kedungkandang,P,1983-12-03
ETIK,Sukun,P,1984-09-23
ONNY,Klojen,L,1985-12-07
PUSPITA,Lowokwaru,P,1984-10-18
RIANTI,Blimbing,P,1982-02-03
RIDO,Klojen,L,1984-04-23
RIZKY,Lowokwaru,L,1983-11-04
SUGIONO,Klojen,L,1983-02-27
WIWIK,Kedungkandang,P,1983-01-15
ARIF,Sukun,L,1984-05-29
AYU,Sawojajar,P,1982-06-13
CATUR,Blimbing,L,1983-08-14
DEWI,Kedungkandang,P,1983-12-03
ETIK,Sukun,P,1984-09-23
ONNY,Klojen,L,1985-12-07
PUSPITA,Lowokwaru,P,1984-10-18
RIANTI,Blimbing,P,1982-02-03
RIDO,Klojen,L,1984-04-23
RIZKY,Lowokwaru,L,1983-11-04
SUGIONO,Klojen,L,1983-02-27
WIWIK,Kedungkandang,P,1983-01-15
